,username,name,tweet
1304,donsuttonlbca,Don Sutton,"@dominoedoe get an education. create something everyone wants to buy or invest in. take the bus to FL. no worries, NY will still have abortions, 1% of the 1% pay 40% of the nations taxes, pandemic was over May 1 2020, eat raisins."
1305,act4chemistry,act4chemistry,ACS is advocating for several STEM education bills to be included that promote equity and inclusion and that support recovery of from the COVID-19 pandemic. Take action here:  https://t.co/YMa4IkTnGW 2/6
1306,blackwidow_94,Leigh *Masks Save Lives*,@JillDunlop1 This is how your party operates. How do you explain the:  Stripping away of BILLIONS from healthcare during a PANDEMIC? Defunding education? Freezing minimum wage? Supporting pro-life legislation and cutting funding to women’s reproductive health?  Is this how you “get it done?”  https://t.co/GEZxY5UmrW
1307,hello9dot,9Dot | HR Staffing | Education Consultant,"""The pandemic is challenging companies to rethink traditional ways of doing business —thus providing an opportunity to reform outdated recruiting practices.""  Read more by HBR at:  https://t.co/9gjOAt29CP  https://t.co/LvgEdUqxyq"
1308,baltochild,Baltimore's Child,The first of two spotlights we have for #MothersDay and #TeacherAppreciationWeek is here!  Hear from @TowsonU Child Care Center Assistant Director Emma Auffarth  https://t.co/RiR6eHOvpF #education #teaching #COVID19 #pandemic #childcare  https://t.co/OrfqsAhebv
1309,edelements,Education Elements,Did you know... there's a 66% rise in national school departures scrambling to fill teacher shortages - all while working to bounce back from the pandemic - the need to support our teaching staff has never been greater.  @court_flanders  https://t.co/UhCxQBrtAE
1310,texthelp,Texthelp for Education,"With a special edition to mark #TeacherAppreciation week, we took Take 20 from pint-sized to super-sized!  Join our teacher panel as they discuss the highs &amp; lows of post-pandemic #teaching, as well as the tools that help them save time &amp; minimize stress.   https://t.co/NqonXUu7fd  https://t.co/IVZBJ0XfDg"
1311,renaissancecou1,Tigray-Matters,#Tigray 1st state to be ready to continue education by making masks and even radio classes when the pandemic hit April 2019. We are being punished for being good. #Ethiopia wants to destroy all things Tigray. @joncoopertweets @ashoswai @nickschifrin @SenateForeign @StateDept
1312,instudiohcla,Hussian College In Studio,"That's a wrap on the 2021/2022 school year at HCLA! Congrats to the students, staff and faculty, on your last day of class. From navigating a pandemic to returning to in-person education to creating an entire film and performing arts festival, you have a lot to be proud of! 🙌  https://t.co/6RWkE2zmu3"
1313,plurbunny_,absolutely not,"@Bycemaster @Inthecat @jasonselvig I don’t think any amount of education on adoption will solve the cost of living crisis post-pandemic or the widening wage gap rendering people unfit to take care of themselves/their children, much less having more children through adoption"
1314,dontsweatthesm5,Tori,"@MerlinofCanada @francoislegault Same as the rest of Canada, mass infection, no public education on severity of Covid long term. No protections for children and the vulnerable in society. @JustinTrudeau where are you? The pandemic is not over just because people want it to be."
1315,fronteducation,Frontiers in Education,New Research: Teaching History in a Post-pandemic World: The Perceptions of Teachers on Training: The purposes of the study were (1) to identify the level of knowledge that teachers in training have on globalization and the world health…  https://t.co/DEXcajgLbc #Education
1316,palessandrini,PatriciaAlessandrini,"So uniquely American to believe that when one contracts COVID at a super-spreader event, it affects noone but oneself.  America has managed to take the ""public"" out of everything – education and healthcare are examples – but thinking a pandemic is a private manner is just too far"
1317,coloradoea,Colorado Education Association,"📸: CEA President Amie Baca-Oehlert testified remotely this morning in support of SB22-069, which limits how certain evaluation measures can be used for the 21-22 and 22-23 school year because of the pandemic's effects. (1/2)  #edcolo #coleg  https://t.co/yXilZn8r73"
1318,acanadianyeti,Canadian Yeti,@fordnation Sick of talk?!  Have they heard your minister of education @sflecce spin his lies in the Leg during the pandemic and negotiations!?  Come on man!  Oh!  I forgot.  Mandate letters?  Anything!? No? We still paying those lawyers for that one?  Ok.  Got it.
1319,jessali_r,Jessali Zarazua,"From the @IUSY_Global Student Working Group, we are very satisfied with the sessions we carried out The pandemic has impacted the education of Youth,but we will continue to fight for a greater N-S cooperation to close these gaps. Thanks @der_vsstoe for sharing with us these days.  https://t.co/Fobyxw4TZQ"
1320,matertrauma,Mater Hospital Trauma,#OurMaterTeam ICU Consultant Colman O’Loughlin participated in a @topmedtalk podcast on ICU experiences during the Covid-19 pandemic. Dr O’Loughlin highlighted the importance of teams that value education.  https://t.co/8FTitNdAhC
1321,kscottz,Kat Scott,I've spent most of the pandemic working with colleagues at @clearpathrobots and collaborators at @luxonis / @opencvlibrary  and @iRobot on a new educational robot for ROS 2.   We launched pre-orders today! This is a big step forward for robotics education.
1322,cwaphew,"CWA Public, Healthcare & Education Workers","""In the early phases of the pandemic, healthcare workers were applauded as frontline fighting forces. Now has come the time to listen to their voices &amp; learn from this ongoing pandemic in order to improve healthcare systems' preparedness."" #Solidarity #1u  https://t.co/TUkxdjtAx8"
1323,readytofly11,Rebecca,@tedcruz Does anyone in the GOP ever do anything besides blame other people? Is anyone in the GOP capable of understanding the complexity of social problems? Is there some reason that so many parents were not able to tend to the education of their own children during the pandemic?
1324,proventutoring,ProvenTutoring,"Being back in class is doing wonders for students who struggled during the pandemic, but some still need additional support. That’s when you can turn to tutoring.  https://t.co/0kgk8pfrNT #ProvenTutoring #Education #Tutoring  https://t.co/EGFM40t6pI"
1325,tonyreilly5,tonyreilly5,UK transnational education grows across all regions during the pandemic – where do we go from here? Looking forward to Coventry University opening up in Morocco.  https://t.co/6z4VI8YJy9 @AmbHajoui @UKSimonMartin @ma_British @UKinMorocco
1326,rebecca_boubel,~Reebie~,"@TomiLahren Of course, you’re with fox.   Covid is a deadly virus, we were in a pandemic when vax were req. for employment, you can’t compare. Didn’t you get vaxed? Didn’t fox require it? Weren’t you vaxed as a child/req. for education?!   Stick to what fox does best, lie."
1327,stigmabasen,Stigmabase | NORDIC,"Monterey County Office of Education awards teacher and employee of the year - KSBW: Education leaders shared that after working through a pandemic, this event is the most important. ""Teachers and our classified employees, they come ...  https://t.co/HnhZ4dvswA"
1328,ec_callaghan,Etienne Callaghan,"#Nottingham students, have you complained about the education you have received from your #university during the pandemic?  I want to speak to you! Following the news a record number of #students have submitted complaints in the last year.   🎙 #journorequest"
1329,ziggydog714,Ziggy,"Why are we talking #RoeVWade right now? Millions of Americans are dying without food, shelter and education. Tens of millions suffering due to long COVID.   Reminder: more people died through the two year pandemic then have ever been aborted… but y’all couldn’t be bothered"
1330,jason_tebbe,Werner Herzog's Bear,Home sick and reflecting on how I was doing a good job as a parent before the pandemic and then the amount of work I had to do as a teacher along with my daughters' school being remote until May 2021 meant I was not there to fill in the breach when their education suffered.
1331,olugbemisola,Olugbemisola,"""In the wake of the worst pandemic in a century, policymakers should be focusing on how to strengthen public education and support students’ success and well-being."""
1332,shropcouncil,Shropshire Council,"🙌 Let’s get our children back in education  🏫 Our new campaign aims to reduce school absences caused by the pandemic, and offer support to parents/carers and children to help address the barriers that prevent them to return to education.  👉 More here:  https://t.co/LjGquGndE0  https://t.co/bsfygcl8zW"
1333,cmcarlinarivera,NYC Council Member Carlina Rivera,Our teachers representing 1M+ school children in NYC have worked tirelessly to take care of students and families throughout the pandemic.  Proud to join @UFT today as they laid out their legislative priorities and vision for the future of education across the five boroughs.  https://t.co/pDpCuFVT4c
1334,barbaraeichner,Dr Barbara Eichner,@CSchwiening @ReicherStephen My colleagues in education are all exhausted and say that everything takes much longer - or feels to take longer - than before the pandemic.
1335,hwdsb,HWDSB,"“When I retire, I am going to come back and be (sad). This was my baby.""  @ViolaD_HWDSB was one of several HWDSB schools that were opened or significantly renovated during the pandemic 🏫  Celebrate School Renewal this Education Week with a virtual tour:  https://t.co/pqTyOPfudT  https://t.co/NGcEbwwsFn"
1336,yuanruby,Kaidi “Ruby” Yuan,How KPCC designed a new education beat in the middle of a pandemic  https://t.co/HB2dLjB8Lr
1337,danagoodier,"Dana G, EdD","""Interrupted and unfinished education is a better way to frame the pandemic than the more commonly used term learning loss.Learning loss unfairly places the blame on the learner"". #learning #academics @teachbetterteam @OutofTrenchespc   https://t.co/9xzoeNkj2S via @curriculumblog"
1338,ana_verahrami,Anahita Verahrami 🐘👂🏼,"Systemic racism, no universal health care, inequitable LGBTQ+ rights, poor education, police brutality, inequitable taxes, climate change, a mishandled pandemic – the list goes on. But how much longer can we before it is too late, and all optimism is gone. [6/7]"
1339,insidehighered,Inside Higher Ed,Join @dougledIHE for a lively discussion today at 2PM ET about the special report w/the author @reallykristi to examine how the pandemic has reshaped both the practice &amp; perceptions of online &amp; hybrid learning in postsecondary education. Register here:  https://t.co/KdvwSIviTt  https://t.co/HxSxgZmxgZ
1340,futureedgu,FutureEd,"A1: Teachers are burned out from the past 2 years of pandemic education, making retention harder. Also shortages are uneven, affecting some regions and specialties more than others. #HireGreatTeachers  https://t.co/xx4jZZbT5i"
1341,democracysburnr,Blue Ballots 4 Democracy,The rising cost of college education in the decade leading up to the pandemic outpaced inflation by 28%. The cost of education is too high for many Americans  American Corporations cannot find enough qualified talent to fill their positions.   We have a HUGE problem in the USA
1342,cameraclubnews,Camera Club News,"Well done, @kilkennyphoto coming together in person as a club again. The resilience shown by camera clubs and their members across the UK throughout the pandemic highlights photography's social contribution to the community through creativity, well-being and education. @The_RPS"
1343,ncjc_education,NC Education Project,"This needs to happen far more often: To navigate pandemic’s impact, policymakers turn to principals  https://t.co/H9gukCAsis via @EducationNC"
1344,morgan_gadsby,Morgan Gadsby,"Ew. No. Why did you vote against smaller class sizes during a pandemic, increasing the risk of death and disability in children and education workers? Monster."
1345,aqueerpanda,Dani says war is crap,"@mattgaetz Have you seen the state of dating atm? Also, pandemic's still on bub, it's not the time to be meeting for drinks. Have you no awareness at all about the actual world? What's education and love got to do with bodily autonomy, sausage? And tell me, for real: why do you give a shit?"
1346,mindbellz,🦂 Am Bish Us - THEE Openly Black Amazon 👊🏽,"People seem to forget that doctors, nurses, teachers, scientists, &amp; emergency response people are necessary when the conversation is about education costs &amp; pay rates...until they need a doctor, nursing care, there's a teacher shortage, a pandemic, or we need emergency help. 🙄"
1347,umeducation,UofM College of Education,"2/3 Mrs. Williams: ""When the pandemic hit, I was in my Teacher Candidacy. The faculty within the COE assured us that, even with the uncertainty, we would finish our degree program strong. My 1st year teaching was completely virtual. I had to be flexible, patient &amp; understanding."""
1348,mcfmakerere,Mastercard Foundation Scholars Program at Makerere,"Resilience has been our motto during the pandemic. With education transitioning to online platforms, we have had time to implement and run our project. Read more about how Our #Mcfscholars managed to Kickstart their venture amidst the pandemic."
1349,expertwitness_,Advanced Assessments - Psychologists,"The Pandemic Warped Our Sense Of Time. Here's How To Gain It Back. #ExpertWitness  psychological reports for #legal, education &amp; employment on: #Dyslexia, #autism, ADHD, mental health &amp; learning disability   https://t.co/ZpKMD6Yzaq"
1350,group_kq,KQ education group,Bill Gates on the pandemic: a misplaced faith in innovation  https://t.co/8SyHPX5I0I
1351,newsjocky,Ed B,"A new book covers the major problems that America faces today in many areas. Topics include education, infrastructure, defense, the environment, energy, the pandemic, social programs, immigration, politics, etc. A great campaign manual for conservatives!  https://t.co/9kvvcul40A"
1352,nationalsurvey8,National Survey,"SURVEY PARTICIPATATION Are you in an after-degree education program during the pandemic &amp; graduate soon? Dr. Dawn, UoM, is surveying how the pandemic impacts your self-efficacy and preparedness on an anonymous Survey:  https://t.co/EMPVc28lmy #teacherstudent #education #graduation  https://t.co/2qAjKnBJlR"
1353,anneunfettered,Anne Eliza,"@ahneely @asosin Also probably highlights who has seen more severe consequences in terms of finances, education, health, etc through the pandemic so far. The ones who aren’t worried are the ones who haven’t been harmed and have no empathy."
1354,jbehm58,jbehm58,"@ACEconPolicy Part of this has to be the brutal impact of Murphy’s lockdown policies. A recent study by Univ of Chicago showed NJ had the worst overall pandemic results, when death rates, economic impact (incl job loss), and education were considered."
1355,richard73822542,Richard Harrington,"Half of churches say Sunday school, other education programs disrupted by pandemic  https://t.co/bBuSzlTo8w"
1356,prealed,Education at the Dialogue,"How can recovery strategies be integrated to address the pandemic repercussions in student learning? Presented with @WBG_Education, the 'Learning Recovery Programs' report reviews learning recovery programs in Latin America and the world 📄🎓 Read here ➡️  https://t.co/lnmCSQ2uPi  https://t.co/Ypfe2sOyKp"
1357,john8ross,John Ross,@YouTube I know since this pandemic I have found myself sharing space with my father. Watching him on your service is an education in a 1984 sort of way. He can’t tell who to trust and so gives equal weight to one guy shouting as a clip from real news. How do we fix this?
1358,workingnation,WorkingNation,"First, #school, then #career - or maybe not? Sandy Climan of Entertainment Media Ventures believes the #education/life line is blurring in the wake of the pandemic, as he explains to #WorkingNationOverheard at the @MilkenInstitute Global Conf.:  https://t.co/XBdhQymZs9  #MIGlobal  https://t.co/Nf8Ac7fJN1"
1359,libraryjournal,Library Journal,University of Virginia Library: “#Pandemic Children’s Collection Helps Prepare for Health Education Post-COVID”  https://t.co/q7qquSOPvg #libraries #books @UVALibrary @ARLnews  https://t.co/Sz0cXS8Ek2
1360,jefcharlotte,Charlotte Jeffreys,"✨Education✨ As many stressed households will be aware, exam season has commenced, in person, for the first time since the pandemic. However, struggles with learning loss are ongoing..."
1361,higherrocked,Higher Rock Education,🗞️ Rising costs and high demand are impacting #food shelters across #America.  🗞️ #Homeowners gained $6 trillion in housing wealth during the #COVID19 pandemic.  🗞️ The #StockMarket slides in #April.  Catch up on the latest Economics in the News.  🔗➡️  https://t.co/wDmBygVJ15  https://t.co/4BlAnJMgCL
1362,news18dotcom,News18.com,Gujarat's education minister Jitu Vaghani said that the decision has been taken considering the disturbances caused by the Covid-19 pandemic in the regular academic activities of schools  https://t.co/TkV8oOrA7s
1363,ritamlat,RLati,"@MattShaheen How about asking the feds for a reprieve of mandated tests to allow the education system to recover after the havoc brought by the pandemic? Tests have not improved education, they’ve simply transferred educational funds to test companies and test-prep vendors."
1364,jaharisoward,Jahari Soward,That is a compromised yet still strong growth despite the economic recession caused by the coronavirus (COVID-19) pandemic. 📈  #STEM #STEAM #DigitalTransformation #Technology #Education #STEMCareer  https://t.co/WtbnuifBXP
1365,chiefzaddy1,Chief Zaddy,"@Org_4green @t_enabler @aproko_doctor Make me Sir. During the pandemic, most countries who had the means and the infrastructure switched their education system to full online mode, does it mean that whatever was learnt during that period was rubbish? Anyway I get it, you are in the UK."
1366,brightheartedu,Bright Heart Education,Education Secretary Nadhim Zahawi has written to parents to tell them about how the National Tutoring Programme is helping children all over the country catch up on learning missed during the pandemic.  Read the new post:  https://t.co/NebTpzSvrb  https://t.co/hmFrvwrY90
1367,faiths4vaccines,Faiths4Vaccines,"Join @Faiths4Vaccines and @USAID on May 12 at 9 am EDT to learn how #faith communities around the world are responding to the pandemic and its second order impacts, including #foodinsecurity and disrupted #education 📚   Register here:  https://t.co/IDPuEyIT5x  https://t.co/HDT1wsD483"
1368,questalliance,Quest Alliance,Understanding challenges faced by education and skilling institutions over the last two years can help post-pandemic recovery and aid resilience in the wake of uncertainty.  Come hear first-hand accounts of #Gujarat's learners and educators:  https://t.co/s3nPGXNV38 ~ #Quest2Learn  https://t.co/e73iypqyqa
1369,uiowaclas,College of Liberal Arts & Sciences at UIowa,"Rebecca Swanson, undergraduate in Music Education and Organ Performance, was recognized last year by the 2021 @DaretoDiscover banner campaign! Due to the pandemic, 2021 scholars are currently being displayed with the 2022 scholars. #DiscoverUI   https://t.co/E5PChnaIP8  https://t.co/rvJNNFem5r"
1370,pandemicperiods,Pandemic Periods,"Speaker 📢 Ursula 🇧🇷 is a psychologist &amp; menstrual health researchers with 10 years of experience working in community-based research with focus on SRH, #menstrualhealth, education, health promotion, and public health.  Sign up -  https://t.co/vghSftpxvO  #WeAreCommitted #MHday  https://t.co/G3Ei931mwa"
1371,cupelocal5167,CUPE Local 5167,May the 4th be with you! A throwback from the beginning of the pandemic! 3rd VP renamed to Education Coordinator. Check out the website for education opportunities! #maythe4thbewithyou  https://t.co/nc5ImHTt1b
1372,phillipduncantn,Phillip Duncan,"We're not witnessing a reaction to a pandemic. We're watching the middle stages of a revolution. Every institution is under the microscope right now - work, government, education, religion - it's fair to say that the pandemic allowed us time to develop a… https://t.co/YxURvvtH3Z"
1373,kurani_us,Kurani,"""The pandemic has drawn new attention to schools as community infrastructure, questioning how the social, informational and physical resources of schools might be better utilized by local residents""   https://t.co/Xnfihlm9Sh #pblchat #edchat #stem #education"
1374,reppisciottano,Rep. Nick Pisciottano,"It’s #TeacherAppreciationWeek – thank you to all the amazing educators who are working hard to give our future leaders a high-quality education, even with the unique challenges presented by the pandemic. 🏫 🍎  https://t.co/6Hm9l30rfh"
1375,pankajugc,Dr (Mrs) Pankaj Mittal,India has used the pandemic as an opportunity in the higher education space by using technology to promote Internationalization with abundance of online resources in keeping with #NEP2020. @AIUIndia @NAFSA @EstherAtNAFSA @EduMinOfIndia @ugc_india @AICTE_INDIA @IAU_AIU @The_ACU
1376,qarahn,Qarahn,"The pandemic taught me lots of things, but the biggest personal lesson is that I realized I do not enjoy being behind a desk 40 hours a week. I love meeting with students, I love college, and I love education, but being stuck behind the desk is not my dream anymore."
1377,oxunistudents,Oxford Students,Week 2 Trinity Student News updates:  💛 Exam wellbeing ✅ Consent Matters ☮️ Race equality update 🚲 Cycle safety 😌 Student pandemic experiences  📳 Digital education tech survey        &amp; more!   📩 Find the email in your Oxford inbox or on  https://t.co/3561vmdGG3  https://t.co/dovhSeRbRQ
1378,dslayer520,Little Void Jr.,"@ColinDotNet @vet_dot @DNC Both the Republicans and Democrats have hardly done anything to control the worst pandemic in over a century, or helped the economic situation with local businesses, education or the war going on. Big change is needed at this point."
1379,aaleeyaa_aa,leeyaa ♡,Nak salahkan parents yang manjakan anak main phone ke education diorg sebab pandemic lama ke taktau la ya allah minta minta anak buah aku tak macam ni la
1380,chasingharmony1,Petrichor ❤🇨🇦❤ 💙💛,"Don't vote for a party that won't debate, hides mandate letters, loses billions in emergency aid, freezes nurses pay in a pandemic, won't give sick days, abandons elderly to untimely deaths, endangers children in unsafe schools &amp; wants to privatize healthcare &amp; education! #onpoli"
1381,theronanon,RonAnon,"@JavierForNM NM legislature did nothing to improve NM in a deadly pandemic. Now they Pander to make you forget all the ways they destroyed the state. Worst education (51st ranked), high crime, nearly 1000 businesses closed, highest unemployment, no recovery, the list it too long for Twit.  https://t.co/fxNE2U4ngx"
1382,innovate_hers,InnovateHERs,"#MeetTheInnovateHER Ana Hidalgo, founder of @LABXXIEc &amp; ReinventED Schools. In @InnovateHERs, Ana’s story shows how her #ActionOrientation + #Optimism allowed her to disrupt education in Ecuador—even during the pandemic. #InnovateHERs #RiseToTheTop #Book  https://t.co/j0CfdbmP0O"
1383,charukasturi,Charu Kasturi,"As schools brace for a post-pandemic future, I report for @AJEnglish on how  a version of Finland's much-praised education system is now rapidly gaining traction in India. It's an unlikely export that is only going to grow:  https://t.co/ghQoAWOZkL"
1384,golden2one,Doré Charbonneau,Mandatory e-learning to graduate in #Ontario? Totally a-synchronous? After preaching how being back to school was so critical for students in a pandemic? Disgusting. Everyone should be appalled at this behaviour and serious lack if judgement from education officials. #ottcity
1385,teachastrobio,Nikki the Science Teacher,"@Mr1nteresting @Jim_Jordan Or providing social and medical support and education for all those precious babies once they are born. Or protecting them and their families with proper, science-based public health measures during a pandemic. Also, read Carl Zimmer's Life's Edge."
1386,jason_epi,Jason the Epi,"@G_Paul_Musings @Atticus59914029 Um, not entirely true. For instance, solid gains in science education (actual experimental science, not rote learning) would unite Americans against those who would profit off a pandemic."
1387,teacherwanderer,Helena E. Jankowski,@Studydotcom My students (K-2 Special Education) just took part in a school wide musical adaptation of the picture book “Swimmy” … it was a huge hit and my students were so excited. Coming off of so many months of pandemic related challenges it was so nice to see uncontainable joy! 💚
1388,thaischoollife,Thai School Life,"Thailand’s Education and Public Health ministries have adopted several measures in preparation for the resumption of on-site classes on 17 May at schools across the country, after almost two years of online learning due to the COVID-19 pandemic #Thailand |  https://t.co/05SuuBGzQo  https://t.co/OM1Z9CB7y7"
1389,indiaedudiary,India Education Diary,University of Exeter: Internet use during pandemic linked to increased mental health risks for young and middle-aged men  https://t.co/SFNDRRpWmQ
1390,kevinpchavous,Kevin P. Chavous,The National Education Association reported that 55% of educators said the #pandemic has made them more likely to leave the teaching profession earlier than they had planned. So why aren't we seeing mass departures?  https://t.co/eM9FDFlLzD
1391,baptist_news,Baptist News Global,Church religious education took more of a hit than worship during pandemic  https://t.co/bkBv7ZQvx5
1392,tischfoodcenter,"Laurie M Tisch Center for Food, Education & Policy","Federal nutrition programs support millions of families' access to healthy, culturally-appropriate food. The pandemic exacerbated food insecurities &amp; food access disparities. Learn about 5 key programs &amp; how to advocate for continued support. @fractweets:  https://t.co/7C8pj725kT"
1393,thaischoollife,Thai School Life,"The Covid-19 pandemic has had a seriously adverse impact on Thailand's education system in the past two years, widening social inequality and inflicting learning loss on students #Thailand  https://t.co/XRmPIxUetc"
1394,erinoharatn,Erin O'Hara Block,"I look forward to continuing the conversation with our community about pandemic recovery, mental health, and supporting great public schools in every neighborhood. I would be honored to bring my experience as a mom and education policy and research leader to the school board."
1395,thmdigital,Thm Marketing,Education in Argentina: recovering what was lost in the pandemic  https://t.co/GjHPj5vClv
1396,flexpointedu,FlexPoint Education Cloud,"During the pandemic, many schools and districts had to come up with solutions on the fly. Don’t let your district get caught off guard again. See what the future of your program could look like:   https://t.co/PRdA1KxUF1"
1397,idr_online,India Development Review,#Education | The pandemic showed us the importance of decentralised solutions in Indian education. Here's how we can effectively scale such local-level measures. @lfe_ed    https://t.co/1kvNsoZkgQ
1398,karmicwaverider,Riding Humanity’s Karmic Wave 🇺🇦,"@bob3167 @patriottakes Against wearing masks or getting vaccinated to protect millions of people during a pandemic, but all of a sudden care act concerned about fetuses of women you actually care nothing about. Once that baby is born, you couldn’t care less with no healthcare, childcare or education."
1399,mandarinautomat,GOV.UK stats,Attendance in education and early years settings during the coronavirus (COVID-19) pandemic: 23 March 2020 to 28 April 2022  https://t.co/CsPJ2o45Sk
1400,mandarinautomat,GOV.UK stats,Attendance in education and early years settings during the coronavirus (COVID-19) pandemic  https://t.co/yW7bu6BMtE
1401,saucy_mouse,w s,"@hottakejr @blockedfreq @jackcalifano so if not for two senators, we would have legislation on healthcare, education, climate change, homelessness, trans rights, reparations, student loan relief, pandemic relief and food security?"
1402,miuucc,Miuc,Post-Pandemic Higher Education Reimagined  https://t.co/Jo1g45I5xd  https://t.co/HM9y5oSM3N
1403,cirad,Cirad,"📆The impact of the #COVID19 #pandemic on # tropical #veterinary medicine education &amp; #research, a virtual event organized by the @aitvm, the Society for Tropical Veterinary Medicine &amp; #CIRAD. 🗓️ 17.05.2022 🕛 12:00-15:00 (CET) 👉  https://t.co/k6tBCL4L5v  https://t.co/38zpAwuYNo"
1404,indiaedudiary,India Education Diary,New York University: The Pandemic and the Presidential Election: Feeling Certain about the Future Can Predict Poor Information-Seeking and Antisocial Behaviors  https://t.co/8wIRS5JoaA
1405,ibtalking,Jody,@cspanwj I learned a lot about Human Nature during the Pandemic... And the More I learn about Human Nature...The more I Love My Dog.  If Reading a Book makes you Think...We need more Education  https://t.co/h6nayqfILy
1406,cygnetot,Cygnet Health Care Occupational Therapy,#CygnetOT22 presentation on student education. So exciting to see the huge  increases in innovative student placements offered in Cygnet even through the Covid pandemic.
1407,cool_grandad,CoolSocialistGrandad election was fixed JC4PM,@SueSuezep They quantitative easing during the pandemic over 350 billion. We bailed the banks 2008 2019. The people of the UK like paying for war bailing the banks out and hurting the poor. We are sending millions and millions to Ukraine not investing in our NHS housing education the people
1408,the_aua,The AUA,"Change Management in Higher Education – Pre-, During and Post-Pandemic - @FIkpehai, @SUMSConsulting | Development Monthly #8  Read the article:  https://t.co/Z8wTm4OToB  #Develop"
1409,teachersupdates,TEACHERS UPDATES 🇰🇪,"HELB Extends Penalty Waiver By Two Months  The Covid-19 pandemic waiver for loan defaulters has been extended by the Higher Education Loans Board (HELB) until June 30, 2022.  The Board's CEO, Charles Ringera, announced in a statement dated May 4, 2022,   https://t.co/ex44Gl845j  https://t.co/smWtNcJcRU"
1410,a360education,Advance 360 Education,We know the Covid-19 pandemic has changed the U.S. workforce forever. What we don’t know for sure is how the changes will play out.    https://t.co/e2QFkB0h2c  #higheredmarketing #vocationalschoolmarketing #edumarketing #educationmarketing #advance360education #digitalmarketing
1411,digifutureslab,Digital Futures Lab,.@GesuIndia speaks on accessible play and how to create something with children with disabilities in mind. Pandemic affected education for children with disabilities.
1412,anneinthemiddle,Anne,"@BobMeredith16 @amandacarpenter @SarahLongwell25 Sadly they are making laws that prevent teaching history which is necessary to educate our population. Also, teachers went from pandemic heroes to villains in a hot minute. Education is the answer, just not sure we are going to get there."
1413,ajc_education,Georgia Education News,"As the pandemic continues, districts adjust expectations for summer school.  https://t.co/nHg80FpQny"
1414,thaipbsworld,Thai PBS World,"#Thailand’s #Education and Public Health ministries have adopted several measures in preparation for the resumption of on-site classes on May 17th at schools across the country, after almost two years of online learning due to the pandemic.  https://t.co/rEND72qtdW #เรียนออนไลน์  https://t.co/99xz0kUUO3"
1415,socialworkaward,Social Work Awards,Introducing the first new award for #SWA22 -⭐️Supporting Children in Education Award ⭐️  This award is open to social workers who have undertaken individual and strategic work to support children’s attendance at school throughout the pandemic.   Enter &gt;  https://t.co/ZO2CPEgY0u  https://t.co/OU7Ja3MOqD
1416,tomglover,Tom Glover,"@globeandmail Another of Doug’s meaningless veiled threats. Doug’s first term is something he would like us all to forget. His party has mishandled the pandemic, education, healthcare, housing, the environment. There really are no successes."
1417,educationaspect,USeducation Service,Church religious education took more of a hit than worship during pandemic – Baptist News Global  https://t.co/wgHrqs7tqt
1418,neunion,National Education Union,".@ofqual is right that the pandemic catalysed questions about assessment in England.  As demonstrated by @AssessmentEra, using exams alone is outdated.   Read our full comment below👇  https://t.co/tAoL0yVOAQ"
1419,sendoxford,SEN Failures OXFORD and Oxfordshire,"More than 800 children, equal to an entire school, have disappeared from education over the pandemic  https://t.co/cvXYb74fPi"
1420,debtors_cartel,InTheShadows,@McDevonMD @DFisman This is what happens when CDC/HHS do not implement a Comms Strategy grounded in proven behavior change practices. Early in the pandemic the data indicated significant vaccine hesitancy and lack of trust. A top down education model was destined to fail.  https://t.co/mqO4y9jqm4
1421,bsetech,BRICKSTEEL ENTERPRISES INFO TECH PVT LTD (BSEtec),eLearning to Boom in Post-Pandemic Global Economy   https://t.co/be84GDRp8a  #udemyclone #udemyclonescript #udemycloneapps #udemyclonephpscript #udemyclonesoftware #bestlms #education #expertpluslms #elearning  https://t.co/rqHPJ1vLB3
1422,blacklivesnews1,Black Lives News 📰✋🏿,(BPRW) RACIAL DIVIDE IN TECHNOLOGY AND STEM EDUCATION EXPOSED BY COVID PANDEMIC   https://t.co/qrQnxQAcyj
1423,group_kq,KQ education group,Church religious education took more of a hit than worship during pandemic – Baptist News Global  https://t.co/MppBYJDbo3
1424,k_lavenia,Kristina LaVenia,"#mentalhealth is an essential part of our overall health and well-being, which has been even more critical during the COVID-19 pandemic. Our #teachers and students know this all too well. #education #highered  #LeadershipMatters"
1425,pandemic1211,Lindsey from R&D 🍍,Remove the transgender education in kindergarten and replace it with sex education in high school.
1426,herdademiguel,Miguel Herdade,"“According to the World Bank forecast, due to the closure of schools during the coronavirus pandemic, the 12-year education may equal the 7.4-year education. In particular, the closure of schools will affect students who are in an unfavorable economic environment. """
1427,hpatrinos,Harry A. Patrinos,"Due to the closure of schools during the coronavirus pandemic, the 12-year education may equal the 7.4-year education @SMolineus   https://t.co/hpQWwWeM5F via @ipnEng"
1428,2devdash,Dr (IP) Biswadev Dash,b) Ebix continued to be interested in Educomp as late when it addressed a letter stating that the software licenses for online education issued by Educomp have become even more relevant in the circumstances of the pandemic
1429,antoinetta55,Sunny5555 Flower,"@breakfasttv NO! Those politicians gave us a wake up call during the pandemic, on how criminal legal crooks they really are. Keeping the rich richer and the poor in poverty! I surrender my vote. Nothing has been done for health care, education, transit, housing, price of living."
